Country,Total,65+,25-64 years,15-24 years,5-14 years,0-4 years
Afghanistan,40099460,964016,12995277,8727160,10922454,6490554
Albania,2854710,463442,1527360,399113,323402,141393
Algeria,44177964,2731079,21871300,6007614,8697129,4870841
American Samoa,45056,3088,22433,7141,8365,4029
Andorra,79057,11499,48651,8570,7797,2540
Angola,34503776,895191,11501196,6518893,9605090,5983405
Anguilla,15779,1614,9691,1691,1983,800
Antigua and Barbuda,93229,9508,52648,13531,12231,5311
Argentina,45276788,5352580,22383468,6965561,7242438,3332743
Armenia,2790971,355723,1539960,325301,387068,182919
Aruba,106543,16564,59261,12823,12952,4943
Australia,25921094,4294906,13679232,3184388,3225094,1537474
Austria,8922086,1734558,4977314,926726,852640,430848
Azerbaijan,10312992,692682,5783975,1368958,1762053,705324
Bahamas,407920,34956,225689,67231,56841,23203
Bahrain,1463266,51052,956937,157104,200565,97608